"",""
"AAAA","AAAA"
"Action","Ação"
"Activate subscription","Ativar assinatura"
"Active","Ativo"
"Addresses","Endereço"
"After","Depois"
"After you click the Yes button, the current subscription will be cancelled, the items will be added to cart and you will have to proceed to checkout one more time to change the payment method.","Depois que você clicar no botão Sim, a assinatura atual será cancelada, os itens serão adicionados ao carrinho e você terá que ir para o checkout mais uma vez para mudar o meio de pagamento."
"Alert Details","Detalhes do Alerta"
"Allow guest subscriptions","Permitir assinaturas de convidados"
"Amount","Valor"
"Appearance","Aparência"
"Are you sure?","Você tem certeza?"
"Are you sure you want to activate this subscription?","Você tem certeza que quer ativar essa assinatura?"
"Are you sure you want to delete this subscription?","Você tem certeza que quer apagar esta assinatura?"
"Are you sure you want to prolong this subscription?","Você tem certeza que quer prolongar esta assinatura?"
"Are you sure you want to suspend this subscription?","Você tem certeza que quer suspender esta assinatura?"
"As low as:","Tão baixo quanto:"
"Availability: In stock.","Disponibilidade: Em estoque."
"Availability: Out of stock.","Disponibilidade: Fora de estoque."
"Back","Voltar"
"Before","Antes"
"Billing Address","Endereço de Cobrança"
"Canceled","Cancelado"
"Cancel subscription","Cancelar assinatura"
"Can not add item to shopping cart","Não pode adicionar item ao carrinho de compras"
"Can't find implementation of payment method $method","Não encontrou implementação do método de pagamento $method"
"Can't load products for period that doesn't exist","Não pode carregar produtos para período que não existe"
"Change Billing Address","Alterar Endereço Cobrança"
"Change Payment Method","Alterar Meio de Pagamento"
"Change Shipping Address","Alterar Endereço de Envio"
"Comments History","Comentários"
"Completed payments","Pagamentos completados"
"Country","País"
"create an account","criar conta"
"Create New Alert","Criar Novo Alerta"
"Create New Period","Criar Novo Período"
"CSV","CSV"
"Customer","Cliente"
"Customer Since","Cliente desde"
"Date","Data"
"Days","Dias"
"Dear %s","Caro %s"
"Delete","Apagar"
"Delivery","Entrega"
"Edit Alert \"%s\"","Editar Alerta \"%s\""
"Edit","Editar"
"Edit period \"%s\"","Editar período \"%s\""
"Edit subscription","Editar assinatura"
"Email","Email"
"Enable subscriptions","Habilitar assinatura"
"Event type","Tipo Evento"
"Excl. Tax:","Excl. Imposto:"
"Excl. Tax","Excl. Imposto"
"Expiration date","Data expiração"
"Expired","Expirado"
"expires at %s.","expira em %s."
"expires at %s","expira em %s"
"Expires","Expira"
"First delivery:","Primeira entrega:"
"First delivery","Primeira entrega"
"First Delivery","Primeira Entrega"
"First Name","Nome"
"First Period Price:","Primeiro Período do Preço:"
"General","Geral"
"Gift Message","Mensagem Presente"
"Group","Grupo"
"has cancelled the","cancelou o"
"has subscribed to","assinou a"
"Hours","Horas"
"ID","ID"
"Incl. Tax:","Incl. Imposto:"
"Incl. Tax","Incl. Imposto"
"Items Ordered","Itens Solicitados"
"Last Name","Sobrenome"
"Last Order Amount","Último Valor Pedido"
"Last order state","Último estado pedido"
"link","link"
"log in","acesso"
"Main Details","Detalhes Principais"
"Monthly delivery","Entrega mensal"
"Months","Meses"
"Name","Nome"
"Never","Nunca"
"New subscription","Nova assinatura"
"Next delivery","Próxima entrega"
"Next Delivery","Próxima Entrega"
"Next payment","Próximo pagamento"
"Next Payment","Próximo Pagamento"
"No","Não"
"No shipping information available","Informação de entrega não disponível"
"Notification Template","Modelo Notificação"
"Ordered","Solicitado"
"Order #","Pedido #"
"Order Status","Status Pedido"
"Order Totals","Total Pedido"
"Order was placed using %s","Pedido foi criado usando %s"
"or","ou"
"Payment Information","Informação Pagamento"
"Payment Method","Meio Pagamento"
"Payments History","Histórico Pagamentos"
"Payments","Pagamentos"
"Pending payments","Pagamentos pendentes"
"Period Details","Detalhes do Período"
"Period","Período"
"Postman Notice","Aviso ao Carteiro"
"Price","Preço"
"Product(s)","Produto(s)"
"Products","Produtos"
"Product was successfully converted to subscription","Produto foi convertido com sucesso para assinatura"
"Prolong subscription","Prolongar assinatura"
"Recipient","Destinatário"
"Refunded","Ressarcido"
"Regular Price:","Preço Normal:"
"Save","Salvar"
"Select Date","Selecionar Data"
"Selected date is not valid for specified period","Data selecionada não é válida para período especificado"
"Shipped","Enviado"
"Shipping Address","Endereço Entrega"
"Shipping &amp; Handling Information","Entrega &amp; Informação de Manuseio"
"Shipping Method","Meio de Envio"
"Show next delivery column at customer","Mostrar próxima coluna de entrega no cliente"
"Show next payment column at customer","Mostrar próxima coluna de pagamento no cliente"
"Show order amount column at customer","Mostrar coluna de valores de pedido no cliente"
"Show postman notice at checkout","Mostrar aviso ao carteiro no checkout"
"SKU","SKU"
"Sorry, but this product cannot have a subscription","Desculpe, mas este produto não pode ter assinatura"
"Sort Order","Ordenar Pedido"
"Special Price:","Preço Especial:"
"Starting at:","Iniciando em:"
"starts at %s","inicia em %s"
"Start","Iniciar"
"State/Province","Estado"
"Status","Status"
"Store","Loja"
"Subscribers","Assinantes"
"Subscription Details - Billing Address","Detalhes Assinatura - Endereço Cobrança"
"Subscription Details - Shipping Address","Detalhes Assinatura - Endereço Entrega"
"Subscription End","Final Assinatura"
"Subscription Information","Informação Assinatura"
"Subscription Notification","Notificação Assinatura"
"Subscription/recurring payment","Assinatura/pagamento recorrente"
"Subscriptions Alerts","Alertas Assinaturas"
"Subscriptions List","Lista de Assinaturas"
"Subscriptions Periods","Períodos Assinaturas"
"Subscriptions","Assinaturas"
"Subscription start:","Início assinatura:"
"Subscription Start","Início Assinatura"
"Subscription Status","Status Assinatura"
"subscription","assinatura"
"Subscription type:","Tipo assinatura:"
"Subscription type","Tipo assinatura"
"Suspended by customer","Suspenso pelo cliente"
"Suspended","Suspenso"
"Suspend subscription","Suspender assinatura"
"Telephone","Telefone"
"Template","Modelo"
"Thank for choosing us!","Obrigado por nos escolher!"
"This customer has no completed payments yet.","Este cliente não possui pagamentos ainda."
"This group is subscription","Este grupo é assinatura"
"This subscription already has no pending payments.","Esta assinatura não possui pagamentos pendentes."
"This subscription is not active. If you want activate it, please click","Esta assinatura não está ativa. Se você quiser ativá-la, por favor clique"
"Title","Título"
"To extend the subscription, please follow this","Para extender sua assinatura, por favor siga isto"
"To resume the subscription, please follow the","Para continuar a assinatura, por favor siga o"
"Total incl. tax","Total incl. imposto"
"Total","Total"
"Track order","Rastrear pedido"
"Unsubscription","Cancelamento"
"Use radio buttons for selecting subscription type","Use botões para selecionar o tipo da assinatura"
"Website","Website"
"Weeks","Semanas"
"We would like to inform that your subscription starts at %s","Gostaríamos de informar que sua assinatura inicia em %s"
"We would like to remind you that your","Gostaríamos de relembrar que sua"
"XML","XML"
"Years","Anos"
"Yes","Sim"
"You can also buy this product using subscription but in this case you should","Você também pode comprar este produto utilizando assinatura mas neste caso você deve"
